DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
69,-38.8428,-19.7833,29.1625,-2.5664,0.0,-58.6261,26.5961,-32.03
70,-40.0643,-15.3246,28.7486,-2.6557,0.0,-55.3889,26.0929,-29.296
71,-39.7449,-14.5935,27.1073,-2.5267,0.0,-54.3384,24.5806,-29.7578
72,-38.2872,-15.491,26.7518,-2.6435,0.0,-53.7782,24.1083,-29.6699
73,-33.8182,-16.7931,26.3077,-2.6277,0.0,-50.6113,23.68,-26.9313
74,-40.1405,-17.8612,27.3276,-2.6073,0.0,-58.0017,24.7203,-33.2814
75,-40.9649,-11.9746,26.2862,-2.5784,0.0,-52.9395,23.7078,-29.2317
76,-36.6838,-14.6669,27.788,-2.7233,0.0,-51.3507,25.0647,-26.286
77,-32.6198,-18.7871,27.6484,-2.6242,0.0,-51.4069,25.0242,-26.3827
78,-39.7008,-16.8177,29.2544,-2.5629,0.0,-56.5185,26.6915,-29.827
79,-36.8114,-15.2357,26.4283,-2.6948,0.0,-52.0471,23.7335,-28.3136
80,-34.0951,-16.8724,25.418,-2.7548,0.0,-50.9675,22.6632,-28.3043
81,-39.0382,-17.8689,29.538,-2.5975,0.0,-56.9071,26.9405,-29.9666
82,-38.3712,-9.7713,26.2239,-2.6516,0.0,-48.1425,23.5723,-24.5702
83,-40.1037,-16.7521,31.5249,-2.6524,0.0,-56.8558,28.8725,-27.9833
84,-38.26,-15.393,31.263,-2.6427,0.0,-53.653,28.6203,-25.0327
85,-37.4494,-14.7156,28.8773,-2.6332,0.0,-52.165,26.2441,-25.9209
86,-39.1666,-12.7345,25.8063,-2.7102,0.0,-51.9011,23.0961,-28.805
87,-37.9366,-15.8902,26.6179,-2.5756,0.0,-53.8268,24.0423,-29.7845
88,-37.467,-14.7971,28.1704,-2.679,0.0,-52.2641,25.4914,-26.7727
89,-38.3106,-15.966,27.2272,-2.6596,0.0,-54.2766,24.5676,-29.709
