DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
298,-38.6989,-16.6785,25.123,-2.5321,0.0,-55.3774,22.5909,-32.7865
299,-39.5122,-16.0933,25.1339,-2.4708,0.0,-55.6055,22.6631,-32.9424
300,-37.4184,-18.7202,24.5212,-2.5318,0.0,-56.1386,21.9894,-34.1492
301,-39.8364,-13.2333,25.0183,-2.4736,0.0,-53.0697,22.5447,-30.525
302,-41.1641,-12.6287,23.6973,-2.4579,0.0,-53.7928,21.2394,-32.5534
303,-39.0643,-10.731,24.0108,-2.4498,0.0,-49.7953,21.561,-28.2343
304,-37.7148,-14.7108,24.8812,-2.4957,0.0,-52.4256,22.3855,-30.0401
305,-38.8619,-14.1007,25.4426,-2.4802,0.0,-52.9626,22.9624,-30.0002
306,-40.5779,-16.2491,26.3471,-2.5178,0.0,-56.827,23.8293,-32.9977
307,-37.6205,-18.513,27.0165,-2.4854,0.0,-56.1335,24.5311,-31.6024
308,-37.158,-18.8967,29.1212,-2.4876,0.0,-56.0547,26.6336,-29.4211
309,-37.6377,-17.5389,30.7998,-2.4678,0.0,-55.1766,28.332,-26.8446
310,-40.2484,-17.4434,27.7967,-2.4437,0.0,-57.6918,25.353,-32.3388
311,-32.3862,-19.3297,27.7202,-2.5968,0.0,-51.7159,25.1234,-26.5925
312,-38.0842,-15.7069,26.3638,-2.4893,0.0,-53.7911,23.8745,-29.9166
313,-34.3887,-18.3557,25.6524,-2.4776,0.0,-52.7444,23.1748,-29.5696
314,-37.8687,-16.6691,27.4483,-2.4724,0.0,-54.5378,24.9759,-29.5619
315,-35.8876,-16.2352,30.1303,-2.6817,0.0,-52.1228,27.4486,-24.6742
316,-39.6155,-11.3063,24.8893,-2.652,0.0,-50.9218,22.2373,-28.6845
317,-38.1931,-14.1768,24.1592,-2.6021,0.0,-52.3699,21.5571,-30.8128
318,-33.9734,-13.5185,25.1342,-2.4509,0.0,-47.4919,22.6833,-24.8086
319,-38.8508,-9.6456,24.7792,-2.5395,0.0,-48.4964,22.2397,-26.2567
320,-32.1619,-17.4944,26.086,-2.497,0.0,-49.6563,23.589,-26.0673
321,-38.3441,-12.0558,25.5047,-2.5067,0.0,-50.3999,22.998,-27.4019
322,-37.3076,-12.2615,26.2401,-2.5044,0.0,-49.5691,23.7357,-25.8334
323,-38.0155,-11.7687,27.0091,-2.4902,0.0,-49.7842,24.5189,-25.2653
324,-39.0371,-10.4619,25.3297,-2.4652,0.0,-49.499,22.8645,-26.6345
325,-33.7541,-11.5895,23.271,-2.6104,0.0,-45.3436,20.6606,-24.683
326,-39.9066,-11.9903,23.4677,-2.4842,0.0,-51.8969,20.9835,-30.9134
327,-41.5041,-14.7802,29.2306,-2.4793,0.0,-56.2843,26.7513,-29.533
328,-40.0949,-16.5953,28.8095,-2.5354,0.0,-56.6902,26.2741,-30.4161
329,-33.808,-17.9215,23.9543,-2.575,0.0,-51.7295,21.3793,-30.3502
330,-36.8408,-13.4926,25.5081,-2.6036,0.0,-50.3334,22.9045,-27.4289
331,-33.4404,-14.0639,27.1383,-2.607,0.0,-47.5043,24.5313,-22.973
332,-38.3293,-14.0511,25.1468,-2.5421,0.0,-52.3804,22.6047,-29.7757
333,-39.5804,-15.5092,25.3897,-2.5841,0.0,-55.0896,22.8056,-32.284
334,-36.8961,-14.7365,24.4533,-2.5274,0.0,-51.6326,21.9259,-29.7067
335,-35.5121,-16.5205,26.9353,-2.4993,0.0,-52.0326,24.436,-27.5966
336,-36.4045,-16.1856,27.5862,-2.4649,0.0,-52.5901,25.1213,-27.4688
337,-39.1161,-15.0407,24.9789,-2.4758,0.0,-54.1568,22.5031,-31.6537
338,-37.9564,-15.557,24.0372,-2.5006,0.0,-53.5134,21.5366,-31.9768
339,-34.7343,-17.0789,25.8251,-2.463,0.0,-51.8132,23.3621,-28.4511
340,-35.8041,-13.6529,26.3679,-2.6296,0.0,-49.457,23.7383,-25.7187
341,-35.7514,-16.6651,26.2399,-2.6684,0.0,-52.4165,23.5715,-28.845
342,-37.5775,-12.8913,24.3127,-2.5875,0.0,-50.4688,21.7252,-28.7436
343,-38.8603,-11.8056,25.131,-2.6081,0.0,-50.6659,22.5229,-28.143
344,-37.1496,-15.0288,24.1675,-2.5478,0.0,-52.1784,21.6197,-30.5587
345,-35.0742,-15.8382,26.4719,-2.4369,0.0,-50.9124,24.035,-26.8774
346,-35.8409,-13.0148,27.008,-2.622,0.0,-48.8557,24.386,-24.4697
347,-33.2239,-17.015,27.7881,-2.5958,0.0,-50.2389,25.1923,-25.0466
348,-34.8051,-16.6493,27.6912,-2.5348,0.0,-51.4544,25.1564,-26.298
349,-33.5914,-14.6686,24.3876,-2.4721,0.0,-48.26,21.9155,-26.3445
350,-34.8107,-14.4458,27.4563,-2.5566,0.0,-49.2565,24.8997,-24.3568
351,-38.658,-12.1861,24.1131,-2.4894,0.0,-50.8441,21.6237,-29.2204
352,-33.1309,-12.276,25.9673,-2.6849,0.0,-45.4069,23.2824,-22.1245
353,-33.3559,-17.8365,26.872,-2.5522,0.0,-51.1924,24.3198,-26.8726
354,-38.9608,-15.2374,25.6197,-2.5237,0.0,-54.1982,23.096,-31.1022
355,-35.3898,-13.2676,23.5153,-2.5338,0.0,-48.6574,20.9815,-27.6759
356,-39.7823,-12.4137,22.9757,-2.4793,0.0,-52.196,20.4964,-31.6996
357,-39.0824,-11.4001,22.347,-2.5507,0.0,-50.4825,19.7963,-30.6862
358,-39.4408,-9.4047,23.7496,-2.5964,0.0,-48.8455,21.1532,-27.6923
359,-37.4204,-14.4365,24.6694,-2.5083,0.0,-51.8569,22.1611,-29.6958
360,-37.1977,-11.282,23.9283,-2.4953,0.0,-48.4797,21.433,-27.0467
361,-36.2231,-11.0445,24.0937,-2.5173,0.0,-47.2676,21.5764,-25.6912
362,-33.0241,-16.3333,27.7434,-2.4215,0.0,-49.3574,25.3219,-24.0355
363,-37.8428,-12.2794,27.8196,-2.6789,0.0,-50.1222,25.1407,-24.9815
364,-37.0763,-9.8767,22.1765,-2.4235,0.0,-46.953,19.753,-27.2
365,-39.1256,-13.4909,26.2338,-2.519,0.0,-52.6165,23.7148,-28.9017
366,-39.0166,-8.583,23.1418,-2.4834,0.0,-47.5996,20.6584,-26.9412
367,-39.761,-13.2408,24.6929,-2.5353,0.0,-53.0018,22.1576,-30.8442
368,-36.6177,-12.1775,23.6918,-2.5044,0.0,-48.7952,21.1874,-27.6078
369,-39.2801,-10.3815,23.5235,-2.512,0.0,-49.6616,21.0115,-28.6501
370,-38.3976,-14.4514,26.3975,-2.5047,0.0,-52.849,23.8928,-28.9562
371,-37.6841,-5.9737,23.7197,-2.5176,0.0,-43.6578,21.2021,-22.4557
372,-37.6058,-10.9445,26.4547,-2.5606,0.0,-48.5503,23.8941,-24.6562
373,-38.0612,-17.1646,27.0621,-2.371,0.0,-55.2258,24.6911,-30.5347
374,-38.5255,-11.7175,25.3792,-2.553,0.0,-50.243,22.8262,-27.4168
375,-39.9183,-12.5611,25.9085,-2.5488,0.0,-52.4794,23.3597,-29.1197
376,-36.8451,-14.2528,25.9513,-2.5941,0.0,-51.0979,23.3572,-27.7407
377,-29.8229,-19.7306,25.6259,-2.4163,0.0,-49.5535,23.2096,-26.3439
378,-33.9764,-17.5002,26.9003,-2.5862,0.0,-51.4766,24.3141,-27.1625
379,-36.94,-10.823,23.6764,-2.5593,0.0,-47.763,21.1171,-26.6459
380,-39.0338,-15.4709,23.204,-2.4042,0.0,-54.5047,20.7998,-33.7049
381,-39.9214,-15.0913,27.0748,-2.5453,0.0,-55.0127,24.5295,-30.4832
382,-36.3437,-12.0175,22.5074,-2.521,0.0,-48.3612,19.9864,-28.3748
383,-39.8455,-14.0578,25.1732,-2.4923,0.0,-53.9033,22.6809,-31.2224
384,-34.308,-15.6121,25.8333,-2.6228,0.0,-49.9201,23.2105,-26.7096
385,-33.1283,-16.1379,27.6472,-2.6074,0.0,-49.2662,25.0398,-24.2264
386,-35.8684,-16.4061,26.9349,-2.5682,0.0,-52.2745,24.3667,-27.9078
387,-32.7925,-18.0803,24.865,-2.6054,0.0,-50.8728,22.2596,-28.6132
388,-36.1633,-15.2232,25.6811,-2.5085,0.0,-51.3865,23.1726,-28.2139
389,-38.9746,-10.1145,24.4956,-2.4451,0.0,-49.0891,22.0505,-27.0386
390,-33.4398,-11.7083,24.5407,-2.6245,0.0,-45.1481,21.9162,-23.2319
391,-31.9005,-18.106,24.0318,-2.5419,0.0,-50.0065,21.4899,-28.5166
392,-36.0849,-13.1532,25.4791,-2.619,0.0,-49.2381,22.8601,-26.378
393,-35.1932,-16.7982,24.0502,-2.5733,0.0,-51.9914,21.4769,-30.5145
394,-37.8481,-11.9156,24.1066,-2.567,0.0,-49.7637,21.5396,-28.2241
395,-36.4644,-13.8129,24.0812,-2.5579,0.0,-50.2773,21.5233,-28.754
396,-34.3459,-16.5438,25.1445,-2.6538,0.0,-50.8897,22.4907,-28.399
397,-35.0328,-18.8898,27.4326,-2.6179,0.0,-53.9226,24.8147,-29.1079
398,-37.8793,-16.4736,27.1191,-2.6084,0.0,-54.3529,24.5107,-29.8422
399,-36.7381,-15.4089,25.1156,-2.55,0.0,-52.147,22.5656,-29.5814
400,-35.5151,-16.3949,25.118,-2.6258,0.0,-51.91,22.4922,-29.4178
401,-38.8677,-15.0015,26.291,-2.6168,0.0,-53.8692,23.6742,-30.195
402,-36.3359,-14.0406,25.2065,-2.4717,0.0,-50.3765,22.7348,-27.6417
403,-39.1945,-11.5781,26.8938,-2.4456,0.0,-50.7726,24.4482,-26.3244
404,-41.1684,-11.7921,26.0494,-2.5749,0.0,-52.9605,23.4745,-29.486
405,-39.7214,-14.6576,25.7545,-2.4598,0.0,-54.379,23.2947,-31.0843
406,-38.348,-12.604,25.3069,-2.465,0.0,-50.952,22.8419,-28.1101
407,-38.8104,-15.87,26.1121,-2.5749,0.0,-54.6804,23.5372,-31.1432
408,-38.2436,-17.1735,28.4201,-2.4623,0.0,-55.4171,25.9578,-29.4593
409,-38.9603,-12.4288,24.5001,-2.6354,0.0,-51.3891,21.8647,-29.5244
410,-39.4506,-16.7714,27.0573,-2.5586,0.0,-56.222,24.4987,-31.7233
411,-37.8,-12.1724,25.7749,-2.6905,0.0,-49.9724,23.0844,-26.888
412,-37.6914,-14.1392,26.1024,-2.5695,0.0,-51.8306,23.5329,-28.2977
413,-37.6249,-15.2772,27.3563,-2.5208,0.0,-52.9021,24.8355,-28.0666
414,-37.1634,-12.8038,25.9613,-2.4838,0.0,-49.9672,23.4775,-26.4897
415,-38.8104,-13.2768,26.7178,-2.5302,0.0,-52.0872,24.1876,-27.8996
416,-39.2246,-13.8191,27.6843,-2.5517,0.0,-53.0437,25.1326,-27.9111
417,-35.5481,-13.2296,26.6384,-2.5975,0.0,-48.7777,24.0409,-24.7368
418,-36.4119,-16.2324,26.1439,-2.5083,0.0,-52.6443,23.6356,-29.0087
419,-39.7632,-11.1902,26.6706,-2.5814,0.0,-50.9534,24.0892,-26.8642
420,-36.3519,-17.6404,26.0798,-2.4672,0.0,-53.9923,23.6126,-30.3797
421,-40.0599,-10.2276,28.7538,-2.6801,0.0,-50.2875,26.0737,-24.2138
422,-37.7728,-13.0578,22.2602,-2.3476,0.0,-50.8306,19.9126,-30.918
423,-38.5389,-13.96,26.2825,-2.4914,0.0,-52.4989,23.7911,-28.7078
424,-33.3756,-14.5843,25.4919,-2.5017,0.0,-47.9599,22.9902,-24.9697
425,-36.2115,-13.8841,23.8108,-2.4058,0.0,-50.0956,21.405,-28.6906
426,-36.8706,-12.2524,24.9061,-2.4892,0.0,-49.123,22.4169,-26.7061
427,-32.9719,-17.6621,26.0596,-2.4518,0.0,-50.634,23.6078,-27.0262
428,-35.0513,-15.7956,23.1051,-2.4218,0.0,-50.8469,20.6833,-30.1636
429,-32.4359,-18.2891,24.3,-2.381,0.0,-50.725,21.919,-28.806
430,-27.5982,-15.126,23.4543,-2.3168,0.0,-42.7242,21.1375,-21.5867
431,-29.7869,-17.8688,24.0785,-2.279,0.0,-47.6557,21.7995,-25.8562
432,-32.4628,-15.5318,23.3521,-2.3987,0.0,-47.9946,20.9534,-27.0412
433,-32.2285,-17.084,24.4079,-2.3602,0.0,-49.3125,22.0477,-27.2648
434,-38.3148,-13.7579,24.9698,-2.481,0.0,-52.0727,22.4888,-29.5839
435,-35.2227,-16.1534,25.9947,-2.4652,0.0,-51.3761,23.5295,-27.8466
436,-36.3649,-15.5622,23.9211,-2.351,0.0,-51.9271,21.5701,-30.357
437,-35.7299,-13.5832,23.0988,-2.4805,0.0,-49.3131,20.6183,-28.6948
438,-39.1057,-13.2184,22.1121,-2.4921,0.0,-52.3241,19.62,-32.7041
439,-31.2248,-20.2684,24.7393,-2.4621,0.0,-51.4932,22.2772,-29.216
440,-35.1812,-16.826,25.9036,-2.4266,0.0,-52.0072,23.477,-28.5302
441,-36.3925,-14.9741,26.3004,-2.6396,0.0,-51.3666,23.6608,-27.7058
442,-33.5481,-15.6875,23.1281,-2.4832,0.0,-49.2356,20.6449,-28.5907
443,-36.1545,-13.6879,23.9345,-2.5793,0.0,-49.8424,21.3552,-28.4872
444,-37.5879,-14.7161,23.461,-2.505,0.0,-52.304,20.956,-31.348
445,-35.2955,-16.9089,25.6679,-2.4448,0.0,-52.2044,23.2231,-28.9813
446,-35.7556,-13.3502,22.6642,-2.5423,0.0,-49.1058,20.1219,-28.9839
447,-36.774,-17.3415,24.7003,-2.3945,0.0,-54.1155,22.3058,-31.8097
448,-31.6199,-11.8275,23.5844,-2.4707,0.0,-43.4474,21.1137,-22.3337
449,-36.2146,-13.8254,23.7036,-2.5008,0.0,-50.04,21.2028,-28.8372
450,-37.091,-15.5035,26.3578,-2.4765,0.0,-52.5945,23.8813,-28.7132
451,-36.0316,-15.3933,24.771,-2.4176,0.0,-51.4249,22.3534,-29.0715
452,-32.5186,-18.5897,27.0622,-2.504,0.0,-51.1083,24.5582,-26.5501
453,-32.9631,-14.9007,25.5504,-2.4074,0.0,-47.8638,23.143,-24.7208
454,-35.505,-15.8914,23.915,-2.4135,0.0,-51.3964,21.5015,-29.8949
455,-37.9276,-11.4904,22.7051,-2.5435,0.0,-49.418,20.1616,-29.2564
456,-39.2923,-9.6228,25.4138,-2.4243,0.0,-48.9151,22.9895,-25.9256
457,-36.3914,-14.5604,22.5527,-2.4164,0.0,-50.9518,20.1363,-30.8155
458,-38.6323,-13.1679,25.5085,-2.5803,0.0,-51.8002,22.9282,-28.872
459,-34.9679,-14.7392,24.8379,-2.4389,0.0,-49.7071,22.399,-27.3081
460,-36.6941,-13.7077,23.2329,-2.4315,0.0,-50.4018,20.8014,-29.6004
461,-39.568,-11.3547,22.5828,-2.4535,0.0,-50.9227,20.1293,-30.7934
462,-37.8053,-16.8973,24.7911,-2.4587,0.0,-54.7026,22.3324,-32.3702
463,-35.7527,-13.9274,25.7993,-2.6463,0.0,-49.6801,23.153,-26.5271
464,-36.6009,-14.6167,23.7803,-2.507,0.0,-51.2176,21.2733,-29.9443
465,-39.1469,-15.5902,26.4063,-2.5221,0.0,-54.7371,23.8842,-30.8529
466,-33.8728,-15.9208,22.2211,-2.4629,0.0,-49.7936,19.7582,-30.0354
467,-35.4434,-14.5611,22.4981,-2.3056,0.0,-50.0045,20.1925,-29.812
468,-35.599,-10.6264,21.7693,-2.42,0.0,-46.2254,19.3493,-26.8761
469,-35.4095,-15.1436,27.0948,-2.3951,0.0,-50.5531,24.6997,-25.8534
470,-35.8183,-14.1161,24.2499,-2.4055,0.0,-49.9344,21.8444,-28.09
471,-35.369,-13.1586,21.317,-2.4576,0.0,-48.5276,18.8594,-29.6682
472,-33.9563,-12.9093,23.1247,-2.3717,0.0,-46.8656,20.753,-26.1126
473,-36.25,-14.1084,25.8122,-2.3433,0.0,-50.3584,23.4689,-26.8895
474,-38.0811,-8.1947,23.2842,-2.4446,0.0,-46.2758,20.8396,-25.4362
475,-34.4884,-15.1583,25.7131,-2.4616,0.0,-49.6467,23.2515,-26.3952
476,-33.5678,-11.3966,22.4251,-2.3006,0.0,-44.9644,20.1245,-24.8399
477,-32.4326,-16.7182,21.9889,-2.4363,0.0,-49.1508,19.5526,-29.5982
478,-34.3834,-15.24,23.5923,-2.2956,0.0,-49.6234,21.2967,-28.3267
479,-33.4299,-9.5679,22.0813,-2.3385,0.0,-42.9978,19.7428,-23.255
480,-36.1328,-14.5856,26.0182,-2.2932,0.0,-50.7184,23.725,-26.9934
481,-39.7968,-12.8352,25.5405,-2.3873,0.0,-52.632,23.1532,-29.4788
482,-39.4844,-16.506,25.06,-2.4219,0.0,-55.9904,22.6381,-33.3523
483,-35.9545,-14.5136,24.846,-2.4593,0.0,-50.4681,22.3867,-28.0814
484,-33.9058,-15.2644,23.8167,-2.3319,0.0,-49.1702,21.4848,-27.6854
485,-30.993,-18.6337,27.4806,-2.4204,0.0,-49.6267,25.0602,-24.5665
486,-34.8097,-14.7555,24.9416,-2.482,0.0,-49.5652,22.4596,-27.1056
487,-31.4326,-14.1436,24.4254,-2.5046,0.0,-45.5762,21.9208,-23.6554
488,-38.0664,-9.8596,25.3807,-2.4287,0.0,-47.926,22.952,-24.974
489,-38.9043,-13.4589,22.9715,-2.4615,0.0,-52.3632,20.51,-31.8532
490,-38.4201,-13.7693,23.5797,-2.4874,0.0,-52.1894,21.0923,-31.0971
491,-38.6536,-14.3833,27.1029,-2.4608,0.0,-53.0369,24.6421,-28.3948
492,-38.8632,-11.9765,24.419,-2.5158,0.0,-50.8397,21.9032,-28.9365
493,-37.8672,-14.76,22.1949,-2.3377,0.0,-52.6272,19.8572,-32.77
494,-36.9633,-13.1077,24.453,-2.4615,0.0,-50.071,21.9915,-28.0795
495,-35.5654,-15.2876,24.9907,-2.4872,0.0,-50.853,22.5035,-28.3495
496,-37.5793,-13.2662,25.3037,-2.6261,0.0,-50.8455,22.6776,-28.1679
497,-33.7498,-17.1744,27.1636,-2.4875,0.0,-50.9242,24.6761,-26.2481
498,-35.5362,-15.0956,25.1532,-2.4791,0.0,-50.6318,22.6741,-27.9577
499,-35.6495,-12.6372,23.2482,-2.4642,0.0,-48.2867,20.784,-27.5027
500,-35.0121,-15.3263,24.5297,-2.5978,0.0,-50.3384,21.9319,-28.4065
501,-36.8686,-14.4058,27.6849,-2.455,0.0,-51.2744,25.2299,-26.0445
502,-37.5205,-13.9623,23.1273,-2.4768,0.0,-51.4828,20.6505,-30.8323
503,-32.0205,-10.1961,24.633,-2.5063,0.0,-42.2166,22.1267,-20.0899
504,-35.006,-10.4172,23.5799,-2.4389,0.0,-45.4232,21.141,-24.2822
505,-36.8883,-4.6783,22.8048,-2.4784,0.0,-41.5666,20.3264,-21.2402
506,-30.4945,-11.4138,22.7676,-2.4037,0.0,-41.9083,20.3639,-21.5444
507,-36.9276,-7.1279,23.6341,-2.5181,0.0,-44.0555,21.116,-22.9395
508,-36.9217,-9.3022,25.5758,-2.5597,0.0,-46.2239,23.0161,-23.2078
509,-32.2633,-9.8261,25.4156,-2.596,0.0,-42.0894,22.8196,-19.2698
510,-36.2407,-8.198,21.0325,-2.4284,0.0,-44.4387,18.6041,-25.8346
511,-32.7228,-3.4458,20.2096,-2.5554,0.0,-36.1686,17.6542,-18.5144
512,-37.6436,-7.0001,22.2328,-2.5454,0.0,-44.6437,19.6874,-24.9563
513,-39.4736,-5.9614,23.4765,-2.4809,0.0,-45.435,20.9956,-24.4394
514,-36.8376,-5.4031,22.8545,-2.5921,0.0,-42.2407,20.2624,-21.9783
515,-35.0699,-6.508,23.0339,-2.4438,0.0,-41.5779,20.5901,-20.9878
516,-35.6895,-3.9395,19.9512,-2.4597,0.0,-39.629,17.4915,-22.1375
517,-37.6915,-6.0346,21.2637,-2.4108,0.0,-43.7261,18.8529,-24.8732
518,-34.7365,-7.4018,23.097,-2.4644,0.0,-42.1383,20.6326,-21.5057
519,-35.8923,-6.112,22.3037,-2.4222,0.0,-42.0043,19.8815,-22.1228
520,-33.8801,-6.0031,21.5795,-2.5279,0.0,-39.8832,19.0516,-20.8316
521,-32.5989,-4.2424,20.2694,-2.6086,0.0,-36.8413,17.6608,-19.1805
522,-34.7718,-7.5871,22.0002,-2.5029,0.0,-42.3589,19.4973,-22.8616
523,-37.6125,-4.7941,22.3451,-2.6984,0.0,-42.4066,19.6467,-22.7599
524,-33.9455,-7.7411,21.075,-2.647,0.0,-41.6866,18.428,-23.2586
525,-34.1195,-5.2394,20.5458,-2.4749,0.0,-39.3589,18.0709,-21.288
526,-33.5835,-1.7979,19.5432,-2.5653,0.0,-35.3814,16.9779,-18.4035
527,-37.1208,-7.6142,25.3907,-2.4803,0.0,-44.735,22.9104,-21.8246
528,-33.0917,-5.391,20.5435,-2.5689,0.0,-38.4827,17.9746,-20.5081
529,-32.5536,-7.7942,20.1204,-2.5564,0.0,-40.3478,17.564,-22.7838
530,-33.433,-5.3653,21.722,-2.6586,0.0,-38.7983,19.0634,-19.7349
531,-34.5722,-7.4819,22.1828,-2.5476,0.0,-42.0541,19.6352,-22.4189
532,-35.6572,-7.0083,21.0325,-2.4577,0.0,-42.6655,18.5748,-24.0907
533,-36.5335,-6.5647,21.6833,-2.5216,0.0,-43.0982,19.1617,-23.9365
534,-33.82,-4.3083,20.3535,-2.4768,0.0,-38.1283,17.8767,-20.2516
535,-34.4556,-4.1417,19.4796,-2.4626,0.0,-38.5973,17.017,-21.5803
536,-38.1711,-4.8668,21.6541,-2.451,0.0,-43.0379,19.2031,-23.8348
537,-30.8874,-8.9174,20.4627,-2.4805,0.0,-39.8048,17.9822,-21.8226
538,-33.5595,-5.1457,19.5276,-2.4474,0.0,-38.7052,17.0802,-21.625
539,-33.4015,-10.8427,22.3716,-2.4665,0.0,-44.2442,19.9051,-24.3391
540,-34.0706,-5.7264,18.975,-2.4848,0.0,-39.797,16.4902,-23.3068
541,-32.0262,-3.8336,20.9692,-2.4654,0.0,-35.8598,18.5038,-17.356
542,-35.5026,-9.4924,22.8218,-2.5179,0.0,-44.995,20.3039,-24.6911
543,-38.6655,-12.7946,23.9866,-2.5767,0.0,-51.4601,21.4099,-30.0502
544,-36.612,-10.2028,22.6544,-2.5653,0.0,-46.8148,20.0891,-26.7257
545,-35.9919,-11.6932,23.6121,-2.4452,0.0,-47.6851,21.1669,-26.5182
546,-37.1849,-12.046,25.3271,-2.5193,0.0,-49.2309,22.8078,-26.4231
547,-39.3432,-14.5102,26.5733,-2.4389,0.0,-53.8534,24.1344,-29.719
548,-35.4598,-11.7651,22.9723,-2.3911,0.0,-47.2249,20.5812,-26.6437
549,-38.8182,-10.7297,21.5065,-2.3238,0.0,-49.5479,19.1827,-30.3652
550,-33.1786,-14.2922,25.6683,-2.3853,0.0,-47.4708,23.283,-24.1878
551,-38.9934,-13.5117,23.2313,-2.352,0.0,-52.5051,20.8793,-31.6258
552,-37.107,-14.2348,24.4652,-2.4958,0.0,-51.3418,21.9694,-29.3724
553,-41.1576,-10.8201,24.4502,-2.4726,0.0,-51.9777,21.9776,-30.0001
554,-39.1452,-10.5255,23.5464,-2.4007,0.0,-49.6707,21.1457,-28.525
555,-36.2983,-13.1473,23.9541,-2.4752,0.0,-49.4456,21.4789,-27.9667
556,-33.8878,-13.7897,24.45,-2.4559,0.0,-47.6775,21.9941,-25.6834
557,-35.0311,-13.1638,23.0277,-2.4236,0.0,-48.1949,20.6041,-27.5908
558,-37.5045,-11.9834,23.7673,-2.4789,0.0,-49.4879,21.2884,-28.1995
559,-36.0582,-11.7299,22.5391,-2.2387,0.0,-47.7881,20.3004,-27.4877
560,-36.8358,-11.3416,20.4926,-2.4358,0.0,-48.1774,18.0568,-30.1206
561,-35.6795,-12.5813,22.6691,-2.4388,0.0,-48.2608,20.2303,-28.0305
562,-35.504,-19.1375,27.1831,-2.4696,0.0,-54.6415,24.7135,-29.928
563,-33.5743,-14.1298,25.5683,-2.5135,0.0,-47.7041,23.0548,-24.6493
564,-34.8191,-15.6183,22.6544,-2.4074,0.0,-50.4374,20.247,-30.1904
565,-40.289,-16.0908,26.7019,-2.4481,0.0,-56.3798,24.2538,-32.126
566,-35.4562,-19.5266,24.6879,-2.4563,0.0,-54.9828,22.2316,-32.7512
567,-36.5384,-17.6245,24.4958,-2.4179,0.0,-54.1629,22.0779,-32.085
568,-35.2264,-13.4804,23.6517,-2.4719,0.0,-48.7068,21.1798,-27.527
569,-37.2222,-14.0214,24.0555,-2.4534,0.0,-51.2436,21.6021,-29.6415
570,-34.0893,-18.0456,24.7494,-2.5201,0.0,-52.1349,22.2293,-29.9056
571,-35.3143,-15.7881,25.0412,-2.5407,0.0,-51.1024,22.5005,-28.6019
572,-33.8458,-17.1611,24.185,-2.4178,0.0,-51.0069,21.7672,-29.2397
573,-33.507,-17.9773,26.0503,-2.4561,0.0,-51.4843,23.5942,-27.8901
574,-34.9182,-17.5714,25.2393,-2.4352,0.0,-52.4896,22.8041,-29.6855
575,-34.3455,-16.6126,25.0212,-2.4432,0.0,-50.9581,22.578,-28.3801
576,-35.2605,-15.4002,22.4342,-2.3792,0.0,-50.6607,20.055,-30.6057
577,-32.6929,-14.959,22.4224,-2.2546,0.0,-47.6519,20.1678,-27.4841
578,-33.8879,-19.1235,24.477,-2.3748,0.0,-53.0114,22.1022,-30.9092
579,-34.7318,-9.1111,19.13,-2.3921,0.0,-43.8429,16.7379,-27.105
580,-36.537,-14.133,21.1318,-2.3389,0.0,-50.67,18.7929,-31.8771
581,-35.856,-15.5754,27.3619,-2.52,0.0,-51.4314,24.8419,-26.5895
582,-35.0532,-15.7866,24.485,-2.4915,0.0,-50.8398,21.9935,-28.8463
583,-37.8194,-15.6558,23.6991,-2.4047,0.0,-53.4752,21.2944,-32.1808
584,-31.8955,-15.7607,21.407,-2.4366,0.0,-47.6562,18.9704,-28.6858
585,-33.5558,-15.014,25.4072,-2.4363,0.0,-48.5698,22.9709,-25.5989
586,-31.4814,-16.3081,24.8255,-2.3716,0.0,-47.7895,22.4539,-25.3356
587,-34.0492,-18.2057,23.6623,-2.4288,0.0,-52.2549,21.2335,-31.0214
588,-36.2005,-14.9434,25.0374,-2.5575,0.0,-51.1439,22.4799,-28.664
589,-36.6623,-14.1877,21.7045,-2.4784,0.0,-50.85,19.2261,-31.6239
590,-34.2818,-15.8668,23.7041,-2.4614,0.0,-50.1486,21.2427,-28.9059
591,-35.5289,-13.8187,22.4152,-2.4368,0.0,-49.3476,19.9784,-29.3692
592,-33.5692,-15.4335,25.2772,-2.5079,0.0,-49.0027,22.7693,-26.2334
593,-35.5393,-13.9377,23.2865,-2.4568,0.0,-49.477,20.8297,-28.6473
594,-33.2693,-15.6241,24.9136,-2.3929,0.0,-48.8934,22.5207,-26.3727
595,-31.2032,-13.6007,23.5567,-2.4047,0.0,-44.8039,21.152,-23.6519
596,-33.81,-16.3174,24.7565,-2.4376,0.0,-50.1274,22.3189,-27.8085
597,-33.2346,-16.5871,22.2846,-2.4147,0.0,-49.8217,19.8699,-29.9518
598,-37.1726,-12.8949,23.8724,-2.4206,0.0,-50.0675,21.4518,-28.6157
599,-32.8117,-18.2991,27.7929,-2.4924,0.0,-51.1108,25.3005,-25.8103
600,-36.7489,-15.4351,27.2958,-2.5835,0.0,-52.184,24.7123,-27.4717
601,-36.6178,-13.4835,23.7884,-2.503,0.0,-50.1013,21.2854,-28.8159
602,-32.1188,-13.6462,25.3396,-2.4729,0.0,-45.765,22.8667,-22.8983
603,-36.6808,-11.7204,26.9463,-2.5316,0.0,-48.4012,24.4147,-23.9865
604,-35.3666,-14.1834,22.9895,-2.5263,0.0,-49.55,20.4632,-29.0868
